Cell,Footprint_Frac,Expected,Observed,Enrichment,P_Binom
Excitatory_Neuron,0.04549297035714286,492.77985490857145,2383,4.835830800027597,0.0
Inhibitory_Neuron,0.028098312857142857,304.36092486857143,1949,6.403581540046948,0.0
Astrocytes,0.013932800357142857,150.92009346857142,433,2.8690679289180983,1.3885726196715635e-79
Oligodendrocytes,0.022665471785714285,245.51239038285712,433,1.7636584423489616,4.40756204823114e-28
Microglia,0.023235374285714285,251.68557426285713,216,0.8582136685132872,0.990738125688399
OPC,0.018964195714285714,205.42016797714285,108,0.5257516876922094,0.9999999999999815
Fetal_Progenitors,0.117722475,1275.1698491999998,866,0.6791252165688362,1.0
