label,p_val,enrichment,observed,expected
Excitatory_Neuron,0.007286384208744809,1.1100291429354157,547,492.77985490857145
Inhibitory_Neuron,0.1459914761430544,1.0612400397307153,323,304.36092486857143
Astrocytes,0.01646460977387183,1.1794320816337678,178,150.92009346857142
Oligodendrocytes,0.00481674349285881,1.1689837712567022,287,245.51239038285712
Microglia,5.658318722890868e-07,1.319106194196349,332,251.68557426285713
OPC,4.628965457280198e-08,1.3922683581478879,286,205.42016797714285
Fetal_Progenitors,8.93373967474782e-05,1.1002455875820751,1403,1275.1698491999998
