Cell,Footprint_Frac,Expected,Observed,Enrichment,P_Binom
Excitatory_Neuron,0.0454929703571428,492.77985490857145,2383,4.835830800027597,0.0
Inhibitory_Neuron,0.0280983128571428,304.36092486857143,1949,6.403581540046948,0.0
Astrocytes,0.0139328003571428,150.92009346857142,433,2.8690679289180983,1.3885726196715635e-79
Oligodendrocytes,0.0226654717857142,245.51239038285712,433,1.7636584423489616,4.407562048231139e-28
Microglia,0.0232353742857142,251.68557426285713,216,0.8582136685132872,0.990738125688399
OPC,0.0189641957142857,205.42016797714285,108,0.5257516876922094,0.9999999999999816
Fetal_Progenitors,0.117722475,1275.1698491999998,866,0.6791252165688362,1.0
