Pathway,P,MedRank,N,FDR
Calcium_VoltageGated,0.20075638641230897,15090.0,10,0.4517018694276952
Calcium_Internal,0.9784275462515568,34525.0,9,0.9784275462515568
Glutamate_Ionotropic,0.9424424929642348,31906.5,14,0.9784275462515568
Glutamate_Metabotropic,0.06231813773856967,14992.5,8,0.4517018694276952
GABA_Receptors,0.804545558906695,33071.0,12,0.9784275462515568
Dopamine_System,0.17031502120938963,12751.5,8,0.4517018694276952
Synaptic_Scaffold,0.1683135978738563,20474.5,10,0.4517018694276952
Ion_Transport,0.38514759018413763,19188.0,9,0.6932656623314477
Synaptic_Vesicle,0.9138098960419283,37227.5,8,0.9784275462515568
